case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v181,0,149,5,0.03373898192424672,0.03355704697986577,0
v182,0,69,2,0.029213959165803237,0.028985507246376812,0
v183,0,2420,406,0.16815414463290376,0.16776859504132233,0
v184,0,9536,343,0.03653155037510098,0.035968959731543626,0
v185,0,1659,225,0.13621189307871406,0.13562386980108498,0
v186,0,2999,674,0.2247914800248243,0.2247415805268423,0
v187,0,2091,43,0.020651427286184538,0.020564323290291727,0
v188,0,21,0,0.00042150881996522437,0.0,0
v189,0,8,0,0.0005816111206513597,0.0,0
v190,0,8,1,0.1244161970780624,0.125,0
v191,0,23,1,0.046760928449183,0.043478260869565216,0
v192,0,12,0,0.0004126508908181374,0.0,0
v193,0,5,0,0.0006085490618715994,0.0,0
v194,0,222,6,0.028346461171266227,0.02702702702702703,0
v195,0,33,0,0.0003069404924507112,0.0,0
v196,0,19,0,0.0002356392107781415,0.0,0
v197,0,59,3,0.05107867479461474,0.05084745762711865,0
pre_final_202,0,1,0,7.591924077132717e-05,0.0,0
v198,0,4,0,0.00016736888755986,0.0,0
v199,0,5,0,0.00027816289803013207,0.0,0
v200,0,27,0,0.00036372266832687374,0.0,0
v201,0,30,0,0.00026245212866342625,0.0,0
v202,0,5,2,0.3986465188732836,0.4,1
v203,0,3,0,0.00018233886900513122,0.0,0
v204,0,15,0,0.00046194803677887346,0.0,0
v205,0,89,2,0.022789710800077117,0.02247191011235955,0
v206,0,14,0,0.0005040574589137188,0.0,0
v207,0,13,0,0.0002633742898559341,0.0,0
v208,0,10,0,0.0001797294280549977,0.0,0
v209,0,140,12,0.08639626635657416,0.08571428571428572,0
pre_final_215,0,1,0,0.00017135767848230898,0.0,0
v210,0,34,3,0.0890579861432557,0.08823529411764706,0
v211,0,89,0,0.0002087435552332383,0.0,0
v212,0,14,0,0.0002809558583456757,0.0,0
v213,0,6,0,0.00015408902860751064,0.0,0
v214,0,127,3,0.023819804346676104,0.023622047244094488,0
v215,0,13,0,0.0003826525633205445,0.0,0
v216,0,5,0,0.0007102960124029778,0.0,0
v217,0,132,7,0.053638824342477055,0.05303030303030303,0
v218,0,35,2,0.05708052830304951,0.05714285714285714,0
v219,0,16,2,0.12514271349709816,0.125,0
v220,0,4,0,0.0007484733760065865,0.0,0
v221,0,48,1,0.021042339756832007,0.020833333333333332,0
v222,0,2,0,9.378216782351956e-05,0.0,0
pre_final_229,0,1,0,0.0010670850751921535,0.0,0
v223,0,20,1,0.05023081674007699,0.05,0
v224,0,3,1,0.3325048630455664,0.3333333333333333,1
v225,0,15,0,0.00035408927554575107,0.0,0
v226,0,4,0,7.688263758609537e-05,0.0,0
v227,0,360,23,0.06302872937560298,0.06388888888888888,0
v228,0,39,4,0.1047452301236962,0.10256410256410256,0
v229,0,3,0,0.000805596728847983,0.0,0
v230,0,543,43,0.08663449731622348,0.07918968692449356,0
v231,0,3202,240,0.07514503600749783,0.07495315427857589,0
v232,0,11101,728,0.066796563361026,0.06557967750653095,0
v233,0,564,54,0.09678450805352035,0.09574468085106383,0
v234,0,100,9,0.09470167449420842,0.09,0
v235,0,11,3,0.2757007586161225,0.2727272727272727,0
v236,2,147,15,0.10008652281877545,0.10204081632653061,0
v237,0,2215,298,0.1356138344267392,0.1345372460496614,0
v238,0,138,12,0.08911070281528341,0.08695652173913043,0
v239,0,21588,1149,0.05592344031245044,0.053224013340744857,0
v240,0,4398,353,0.08104717608430999,0.0802637562528422,0
v241,0,4963,506,0.10181220702221236,0.10195446302639533,0
v242,0,2115,197,0.0933718749558612,0.09314420803782505,0
v243,0,1500,226,0.15183504700459888,0.15066666666666667,0
v244,0,1038,120,0.11550469033187143,0.11560693641618497,0
v245,0,967,140,0.14624519232929478,0.14477766287487073,0
v246,0,4507,634,0.1411632855928008,0.14067006878189484,0
v247,0,5984,533,0.0903019570362346,0.08907085561497326,0
v248,0,2198,256,0.11711031402292453,0.1164695177434031,0
v249,0,2666,467,0.1758932631943525,0.1751687921980495,0
v250,0,20,1,0.050533889327925866,0.05,0
v251,0,509,61,0.12242873062386005,0.11984282907662082,0
v252,0,1353,301,0.22233806300513134,0.22246858832224686,0
v253,0,762,103,0.1345980237369974,0.13517060367454067,0
v254,0,105,11,0.11025307708159311,0.10476190476190476,0
v255,0,786,121,0.1544743557956269,0.15394402035623408,0
v256,0,461,150,0.3228754620379016,0.32537960954446854,1
v257,0,670,105,0.15673455564256208,0.15671641791044777,0
v258,0,2251,358,0.15952827499130218,0.15904042647712127,0
v259,0,600,72,0.11860900583265296,0.12,0
v260,0,196,22,0.11386269972762401,0.11224489795918367,0
v261,0,9,3,0.33255559313127175,0.3333333333333333,1
v262,0,1348,166,0.12301871659095902,0.12314540059347182,0
v263,0,4134,480,0.11789741341429542,0.11611030478955008,0
v264,0,28,4,0.14355188331111485,0.14285714285714285,0
